,ISO3,Calsuff_2000,Calsuff_ssp1,Calsuff_ssp2,Calsuff_ssp3,Calsuff_ssp4,Calsuff_ssp5,trade_dep_2013,GDP_ssp1_2010,GDP_ssp1,GDP_ssp2,GDP_ssp3,GDP_ssp4,GDP_ssp5,name,Trade_1998,Trade_2001,Trade_2013
0,AFG,0.7852330218505951,0.3575386783743337,0.302059633707589,0.2855153741613622,0.2657260393397877,0.4629210477009629,0.2693107694774819,1.1854386858525405,7.525939353988134,4.182578962773741,2.8913506371548063,2.6166843141943046,9.578813900208118,Afghanistan,0.4603741842557726,0.358387846961402,0.2693107694774819
1,AGO,0.597733120204692,0.3087473588913882,0.3977578068824636,0.2007252103311752,0.3103652841387909,0.43323772232480107,0.22130053000592756,5.171680117388115,12.157659424268571,7.386278879388758,4.99153928477677,6.575093404727178,17.175128085700976,Angola,0.33744681308287916,0.32269577208369116,0.22130053000592753
2,ALB,2.3195374712727275,2.1443213496304483,2.112084729906589,1.99776164994766,2.1568436548960364,2.1724688569203896,0.2081231816988791,7.6607365792759055,23.061598951507207,18.18338019368947,14.09471919530595,18.735352862849535,28.35741056218058,Albania,0.22334879347900283,0.19718196628736395,0.2081231816988791
3,ARE,0.4030136108383313,0.15861791938180625,0.1527536245405925,0.14392734383749473,0.17964462028546782,0.10949652330045782,0.0,42.351171458998934,79.49011609664261,71.00845403488029,66.45490196078431,82.19126496680936,100.60363694882524,United Arab Emirates,0.0,0.0,0.0
4,ARG,8.343863990844216,5.579005845448148,6.409942012699188,6.2544204228486615,5.945892607425977,6.103356932556246,1.0,14.36273879045828,46.75735505722445,38.70948012232416,27.858773995575536,37.09754230987886,56.84481747213573,Argentina,1.0,1.0,1.0
5,ARM,1.7345740678687054,1.7981400105423817,1.967693241992124,1.69607564524053,1.9246728082475395,2.1316341635327816,0.12476300442577926,4.900711513583441,23.1760162601626,16.81804163454125,12.611202635914331,18.09454394002499,28.997740623587887,Armenia,0.1443482040441577,0.16723490452879874,0.12476300442577926
6,AUS,11.085545985207565,5.154390770168134,5.066071537230633,8.800898110391552,6.656227558728496,4.108240639592633,1.0,35.72786060714927,66.79809794490599,59.14955735020675,54.78392242287963,69.29577258192272,76.9028763963638,Australia,1.0,1.0,1.0
7,AUT,2.8246967916518684,2.560387938456251,2.6770881553463486,2.4203269536206533,2.6091820319757457,2.1751398968114075,0.326642860045429,35.36454610436026,62.057954307273114,60.91751682222704,55.82606431454238,64.77399770904925,70.88925802879291,Austria,0.47248423769418757,0.5034603226116873,0.326642860045429
8,AZE,2.154728615974656,1.7351030625235626,1.7627686645750409,1.698961420587044,1.7285372211487249,1.7538965945181906,0.22175090748462545,8.782760121898127,17.6894848954299,14.131447284635678,11.213830437439972,15.379194298723153,22.38007205157376,Azerbaijan,0.29423047366786714,0.30321406639785886,0.22175090748462545
9,BDI,0.5507443674508772,0.3381136477191344,0.2967406293544354,0.2859287962262993,0.2929481647290397,0.3585826895869397,,0.5235595848741501,6.909324428461341,3.5809637120761453,1.8602317524787957,1.5075418531410576,9.658720722862919,Burundi,,,
10,BEL,1.7602025682703626,1.7181283422813385,1.8114881690132247,1.6674070531781695,1.7709642683459892,1.5377988530455244,0.0,33.389283047050036,57.80030651340996,58.04390282629406,52.70011500862565,60.356524719389945,64.61143931256713,Belgium,0.08022966505016726,0.04775760725377576,0.0
11,BEN,1.2727405657546464,0.6323199754639478,0.5962562713811517,0.3393713775652567,0.5737230464344647,0.8304859786412141,0.2782127759741948,1.4238418079096047,9.80302589467559,5.1990735921723745,3.1061741526857807,2.64825124910778,13.245219089186241,Benin,0.44170315123671033,0.45882307336394423,0.2782127759741948
12,BFA,3.2447398138441588,1.2518069992994922,1.2190402576828347,0.6403844918215293,0.5822201427454997,1.3949648429060033,0.43444387114825,1.136013115550428,9.620050418101329,5.725066058753433,3.060101160368938,2.6565258134112057,12.723069056977598,Burkina Faso,0.4375054723427779,0.4387019500334981,0.43444387114825
13,BGD,0.4266835630590601,0.2637195321493497,0.3019139118289091,0.1996363808939209,0.2841652750027864,0.29984145352941993,0.3745587047908601,1.4882912328840825,14.840174475868862,8.95983184950224,5.578861869328412,5.164119421193534,19.67592841529416,Bangladesh,0.41564708338940803,0.3966413136555349,0.37455870479086006
14,BGR,3.9262973252216975,4.128695104661639,4.237956105211714,3.9438911206556613,4.196502472903614,4.077527933846777,1.0,11.574326127568723,47.12783303440405,38.932625237793275,29.295094812725274,38.81685166498487,56.66640353646985,Bulgaria,0.4865476461786463,0.5881910894747702,1.0
15,BIH,2.5442239638810578,2.267455166010649,2.459793503961774,2.2986381179826605,2.2348145480767516,2.2274390367865915,0.11530735340579225,7.464095744680852,29.750924784217013,25.15358982126628,20.595636580992227,25.67212062880975,35.44970956893916,Bosnia and Herzegovina,0.2597280078442733,0.18866009281195328,0.11530735340579223
16,BLR,4.382329471043128,4.7368281719761365,4.798002589082742,4.3917815548227415,4.882601524535521,4.849625389418585,0.5854320813204241,12.368004168837937,48.493524456180054,39.920058493785035,31.23286862003781,40.73930113859442,58.13376672084011,Belarus,0.31007701154170086,0.26186785709520966,0.5854320813204241
17,BLZ,3.2762038188481237,2.2059466310631133,2.126297656641728,1.215884842702362,1.7815853150108751,2.26074645535867,1.0,6.605769230769231,21.84871794871795,15.444196428571427,10.568383658969806,9.436046511627906,27.005747126436784,Belize,1.0,1.0,1.0
18,BOL,1.983685028922892,1.3981074427616889,1.2390564793791246,1.289858959279301,1.0911525666691986,1.6703378678107157,0.7136025341654318,4.34944612286002,25.831503618768803,18.413986405998177,11.201909515026582,15.013051044083527,32.46953689029758,Bolivia,0.6197942634899398,0.5532661104647735,0.7136025341654318
19,BRA,3.9192571042787563,3.3806991349794284,3.295482576144673,3.3787649256769026,2.94767516489224,4.294778680681517,0.9675989680012842,10.092748761195407,33.57053510351663,24.208170165783983,17.08307379343515,24.847797012977935,41.617462231963096,Brazil,0.5598972381678726,0.6388770876911386,0.9675989680012842
20,BRN,0.6421519704285735,0.39589760786895545,0.3534312419457984,0.6922717959747289,0.6822475163895201,0.3838292347784287,0.0,45.49624060150375,85.41436464088397,78.16108452950557,62.341503267973856,76.03874538745387,99.71785714285713,Brunei,0.0,0.0,0.0
21,BTN,0.8238851620617054,0.6918105291919325,1.0206439440957036,1.0442635077476297,0.8396830470003463,0.5991385320227757,,4.779614325068871,50.468805704099815,41.19531880548829,27.214007782101167,36.7929203539823,61.75041876046902,Bhutan,,,
22,BWA,1.002469891191255,4.160516166954746,2.5745311064247143,15.824130441495724,5.077024326990951,5.258748893323106,0.0,12.462381664175386,39.605672105672106,32.38194444444444,25.38686131386861,33.496450754214735,47.302816901408455,Botswana,0.11745807035500166,0.07093582070390059,0.0
23,CAF,0.4802201889029368,0.39751560352732734,0.4619777046938932,0.3949843015205641,1.543469866027537,1.160972721291973,0.4582634516982592,0.7075664621676891,6.7536864279265725,3.601564607499326,1.8806044092147634,1.5228200371057512,9.513278319579895,Central African Republic,0.48653767237756873,0.47114579162077597,0.4582634516982592
24,CAN,9.838988061820336,4.629820596266732,6.6643499106788076,7.424823825024384,7.910551222710548,3.547302535135085,1.0,35.33198106828938,54.719843166084665,55.634758852579594,60.80077958137547,59.96498385939742,71.16617644558546,Canada,1.0,1.0,1.0
25,CHE,1.4023352440796029,1.3928751768538192,1.464769531128211,1.3651431941763943,1.5306882958500598,0.8591463031464798,0.20496933753875698,38.376174321503136,67.28836568034787,63.890209332751844,58.05535878263151,69.9333103764922,77.73753232360546,Switzerland,0.24920010981672314,0.22616082699778817,0.204969337538757
26,CHL,2.4253948072236957,1.7417423473397131,1.8456142431419684,2.1199024012358727,2.0205230865516817,1.732972485749544,0.24402933106384905,13.613883370340071,46.89350339606989,39.42422323950522,29.099494788584956,38.532633548118895,55.914986628265794,Chile,0.5186278897001351,0.3970134660147262,0.24402933106384905
27,CHN,1.6401075206710891,1.178606642711427,1.3153162094610875,1.248472038042775,1.2971964227696489,1.3682383153364457,0.3752085568391221,6.800201291996406,55.892612149700625,40.34992217794097,29.409976557689884,42.73349804517352,69.54928943702114,China,0.48978975793138535,0.48680974257937937,0.37520855683912213
28,CIV,1.7029688450283715,1.4563326043857625,1.0625513977805636,0.944402446203906,1.062068087120576,2.2724442276944092,,1.69434593170534,22.44553757053757,15.092197655050786,8.001012889012687,7.063011127496984,28.462924071082387,Ivory Coast,,,
29,CMR,0.7397332283734005,0.4368411839494031,0.4908635340303112,0.4712472728095473,0.5111402920911765,0.7629790099470956,0.4452938504775861,2.0580641869483136,14.494747968553876,9.598081795150199,5.926231042875866,5.2257986835768175,18.672782773151066,Cameroon,0.5355510722361063,0.49279033603124334,0.4452938504775861
30,COD,0.6734316508159118,0.607699759604555,0.5825147922334513,0.3607999398837117,0.5129452347703214,0.595180330295109,,0.31646605827244345,7.428664805715121,3.7585146755055967,2.039015128315061,1.6100281133182983,10.491971264766931,Democratic Republic of the Congo,,,
